"Table 2c. Gonorrhoea diagnosis numbers and rates in England and regions by gender, sexual orientation and age group 2019 to 2023",,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,
"Some annual data (numbers and rates) refers to information that can be found on the Notes, caveats and glossary worksheet: 2020 [note 14], 2021 [note 14].",,,,,,,,,,,,,,,,,,,,,,,
"Some data labels refer to information that can be found on the Notes, caveats and glossary worksheet.",,,,,,,,,,,,,,,,,,,,,,,
Shorthand is used in this table. [x] = unavailable data and [c] = confidential data [note 15].,,,,,,,,,,,,,,,,,,,,,,,
"Rates are calculated per 100,000 population.",,,,,,,,,,,,,,,,,,,,,,,
Data type: residence data [note 3].,,,,,,,,,,,,,,,,,,,,,,,
Publication date: 4 June 2024.,,,,,,,,,,,,,,,,,,,,,,,
Area of residence,STI,Gender and sexual orientation,Age group ,2019 Numbers,2020 Numbers,2021 Numbers,2022 Numbers,2023 Numbers,"2019 
Rates","2020 
Rates","2021 
Rates","2022 
Rates","2023 
Rates",,,,,,,,,,
England,Gonorrhoea,Men,13 to 14,8,10,5,14,14,1.2,1.5,0.7,2.0,2.0,,,,,,,,,,
England,Gonorrhoea,Men,15 to 19,"3,157","1,971","1,789","3,778","3,574",197.4,121.4,108.0,222.6,210.6,,,,,,,,,,
England,Gonorrhoea,Men,20 to 24,"10,450","6,873","6,354","11,198","11,333",594.2,398.9,371.1,643.3,651.0,,,,,,,,,,
England,Gonorrhoea,Men,25 to 34,"20,982","15,651","15,486","21,955","24,234",561.8,420.8,416.6,582.5,643.0,,,,,,,,,,
England,Gonorrhoea,Men,35 to 44,"9,777","7,714","8,059","11,128","13,154",274.1,215.3,223.7,303.7,359.0,,,,,,,,,,
England,Gonorrhoea,Men,45 to 64,"6,136","4,571","4,727","6,612","7,471",86.0,63.9,65.9,92.2,104.2,,,,,,,,,,
England,Gonorrhoea,Men,65 and over,350,218,232,461,513,7.5,4.6,4.8,9.5,10.5,,,,,,,,,,
England,Gonorrhoea,Men,Other,51,43,4,1,5,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,Men,Total,"50,911","37,051","36,656","55,147","60,298",184.6,134.3,132.4,197.1,215.5,,,,,,,,,,
England,Gonorrhoea,MSW,13 to 14,3,4,3,10,13,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,MSW,15 to 19,"1,850","1,123",869,"2,235","2,252",266.9,162.0,125.4,322.5,325.0,,,,,,,,,,
England,Gonorrhoea,MSW,20 to 24,"4,672","2,902","2,152","4,800","5,068",244.1,151.6,112.4,250.8,264.8,,,,,,,,,,
England,Gonorrhoea,MSW,25 to 34,"5,409","3,825","3,104","4,256","4,973",165.5,117.0,94.9,130.2,152.1,,,,,,,,,,
England,Gonorrhoea,MSW,35 to 44,"1,878","1,382","1,268","1,527","1,963",58.2,42.8,39.3,47.3,60.9,,,,,,,,,,
England,Gonorrhoea,MSW,45 to 64,"1,177",733,662,851,"1,039",18.0,11.2,10.1,13.0,15.9,,,,,,,,,,
England,Gonorrhoea,MSW,65 and over,103,65,62,80,119,2.4,1.5,1.4,1.8,2.7,,,,,,,,,,
England,Gonorrhoea,MSW,Other,2,6,1,0,2,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,MSW,Total,"15,094","10,040","8,121","13,759","15,429",75.6,50.3,40.7,68.9,77.2,,,,,,,,,,
England,Gonorrhoea,GBMSM,13 to 14,4,4,1,0,0,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,GBMSM,15 to 19,"1,123",705,676,"1,148","1,005","5,120.8","3,214.8","3,082.5","5,234.8","4,582.8",,,,,,,,,,
England,Gonorrhoea,GBMSM,20 to 24,"5,339","3,574","3,431","5,335","5,319","5,358.3","3,586.9","3,443.4","5,354.3","5,338.2",,,,,,,,,,
England,Gonorrhoea,GBMSM,25 to 34,"14,855","10,995","10,842","15,994","17,524","8,685.1","6,428.3","6,338.9","9,351.0","10,245.6",,,,,,,,,,
England,Gonorrhoea,GBMSM,35 to 44,"7,595","5,993","6,124","8,921","10,355","6,409.0","5,057.2","5,167.7","7,528.0","8,738.0",,,,,,,,,,
England,Gonorrhoea,GBMSM,45 to 64,"4,704","3,657","3,686","5,358","6,028","2,928.7","2,276.9","2,294.9","3,335.9","3,753.1",,,,,,,,,,
England,Gonorrhoea,GBMSM,65 and over,222,140,149,339,354,537.7,339.1,360.9,821.1,857.5,,,,,,,,,,
England,Gonorrhoea,GBMSM,Other,49,36,2,0,1,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,GBMSM,Total,"33,891","25,104","24,911","37,095","40,586","5,528.6","4,095.2","4,063.7","6,051.2","6,620.7",,,,,,,,,,
England,Gonorrhoea,Women,13 to 14,64,28,27,27,30,10.2,4.4,4.1,4.0,4.4,,,,,,,,,,
England,Gonorrhoea,Women,15 to 19,"4,997","2,804","2,177","5,340","5,264",327.3,181.3,138.4,333.5,328.7,,,,,,,,,,
England,Gonorrhoea,Women,20 to 24,"6,717","4,440","3,764","7,824","8,109",380.7,258.9,221.7,461.6,478.4,,,,,,,,,,
England,Gonorrhoea,Women,25 to 34,"5,255","3,877","3,525","5,097","5,735",133.4,98.5,89.7,129.3,145.5,,,,,,,,,,
England,Gonorrhoea,Women,35 to 44,"1,332","1,022","1,113","1,405","1,680",36.1,27.4,29.3,36.2,43.3,,,,,,,,,,
England,Gonorrhoea,Women,45 to 64,658,372,434,604,716,9.0,5.0,5.9,8.1,9.7,,,,,,,,,,
England,Gonorrhoea,Women,65 and over,23,9,14,27,26,0.4,0.2,0.2,0.5,0.5,,,,,,,,,,
England,Gonorrhoea,Women,Other,8,3,4,3,3,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,Women,Total,"19,054","12,555","11,058","20,327","21,563",66.5,43.7,38.3,69.8,74.0,,,,,,,,,,
England,Gonorrhoea,WSM,13 to 14,59,25,26,24,25,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,WSM,15 to 19,"4,688","2,630","1,899","4,723","4,669",747.0,419.1,302.6,752.6,744.0,,,,,,,,,,
England,Gonorrhoea,WSM,20 to 24,"6,302","4,203","3,261","6,863","7,177",324.0,216.1,167.7,352.9,369.0,,,,,,,,,,
England,Gonorrhoea,WSM,25 to 34,"4,864","3,530","2,972","4,372","4,953",136.6,99.2,83.5,122.8,139.1,,,,,,,,,,
England,Gonorrhoea,WSM,35 to 44,"1,211",888,916,"1,152","1,423",34.9,25.6,26.4,33.2,41.1,,,,,,,,,,
England,Gonorrhoea,WSM,45 to 64,595,337,351,497,593,8.7,4.9,5.1,7.3,8.7,,,,,,,,,,
England,Gonorrhoea,WSM,65 and over,22,9,12,18,23,0.4,0.2,0.2,0.4,0.5,,,,,,,,,,
England,Gonorrhoea,WSM,Other,7,1,2,0,0,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,WSM,Total,"17,748","11,623","9,439","17,649","18,863",82.3,53.9,43.8,81.9,87.5,,,,,,,,,,
England,Gonorrhoea,WSW,13 to 14,1,0,0,0,0,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,WSW,15 to 19,31,28,29,53,33,305.9,276.3,286.2,523.0,325.7,,,,,,,,,,
England,Gonorrhoea,WSW,20 to 24,48,51,84,153,125,94.7,100.7,165.8,302.0,246.7,,,,,,,,,,
England,Gonorrhoea,WSW,25 to 34,82,100,109,178,167,109.2,133.2,145.2,237.1,222.4,,,,,,,,,,
England,Gonorrhoea,WSW,35 to 44,44,45,49,52,66,83.4,85.3,92.9,98.6,125.1,,,,,,,,,,
England,Gonorrhoea,WSW,45 to 64,22,10,23,28,33,31.4,14.3,32.9,40.0,47.1,,,,,,,,,,
England,Gonorrhoea,WSW,65 and over,0,0,0,6,2,0.0,0.0,0.0,46.8,15.6,,,,,,,,,,
England,Gonorrhoea,WSW,Other,1,1,0,0,0,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,WSW,Total,229,235,294,470,426,84.4,86.6,108.3,173.1,156.9,,,,,,,,,,
England,Gonorrhoea,Total,13 to 14,73,40,33,50,49,5.7,3.1,2.4,3.6,3.5,,,,,,,,,,
England,Gonorrhoea,Total,15 to 19,"8,312","4,899","4,158","9,792","9,398",265.9,154.6,128.8,296.8,284.9,,,,,,,,,,
England,Gonorrhoea,Total,20 to 24,"17,453","11,591","10,538","20,215","20,482",495.4,337.1,309.0,588.3,596.1,,,,,,,,,,
England,Gonorrhoea,Total,25 to 34,"26,618","19,919","19,581","28,182","31,011",346.9,260.2,256.0,365.5,402.2,,,,,,,,,,
England,Gonorrhoea,Total,35 to 44,"11,296","8,895","9,428","12,991","15,256",155.7,121.5,127.4,172.2,202.2,,,,,,,,,,
England,Gonorrhoea,Total,45 to 64,"6,926","5,047","5,317","7,511","8,458",47.8,34.7,36.5,51.5,58.0,,,,,,,,,,
England,Gonorrhoea,Total,65 and over,387,239,257,523,558,3.8,2.3,2.5,4.9,5.2,,,,,,,,,,
England,Gonorrhoea,Total,Other,68,48,9,4,11,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,Total,Total,"71,133","50,678","49,321","79,268","85,223",126.5,90.0,87.2,138.8,149.2,,,,,,,,,,
London,Gonorrhoea,Men,13 to 14,0,4,0,3,2,0.0,3.8,0.0,2.7,1.8,,,,,,,,,,
London,Gonorrhoea,Men,15 to 19,997,641,530,705,640,413.3,260.1,209.9,272.2,247.1,,,,,,,,,,
London,Gonorrhoea,Men,20 to 24,"4,291","2,961","2,742","3,623","3,734","1,431.3","1,035.4",968.7,"1,231.4","1,269.1",,,,,,,,,,
London,Gonorrhoea,Men,25 to 34,"12,107","9,546","9,046","12,092","13,529","1,563.0","1,245.3","1,193.3","1,573.4","1,760.4",,,,,,,,,,
London,Gonorrhoea,Men,35 to 44,"5,990","5,098","5,095","6,584","7,753",851.6,730.5,754.8,985.8,"1,160.9",,,,,,,,,,
London,Gonorrhoea,Men,45 to 64,"3,203","2,624","2,685","3,404","3,829",318.7,258.4,263.2,332.3,373.8,,,,,,,,,,
London,Gonorrhoea,Men,65 and over,122,82,92,147,172,26.6,17.7,19.6,30.7,35.9,,,,,,,,,,
London,Gonorrhoea,Men,Other,2,4,0,1,1,[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,Men,Total,"26,712","20,960","20,190","26,559","29,660",617.4,486.6,473.0,617.3,689.3,,,,,,,,,,
London,Gonorrhoea,MSW,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,Total,"5,108","3,590","2,720","3,362","4,086",175.1,123.1,93.3,115.3,140.1,,,,,,,,,,
London,Gonorrhoea,GBMSM,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,Total,"20,546","16,113","15,558","21,247","23,542","13,275.8","10,411.4","10,052.8","13,728.7","15,211.6",,,,,,,,,,
London,Gonorrhoea,Women,13 to 14,15,9,8,6,7,15.4,9.0,7.7,5.7,6.6,,,,,,,,,,
London,Gonorrhoea,Women,15 to 19,"1,322",807,524,662,672,563.9,338.1,215.3,267.3,271.3,,,,,,,,,,
London,Gonorrhoea,Women,20 to 24,"1,851","1,278","1,039","1,521","1,619",567.9,415.8,342.9,486.3,517.6,,,,,,,,,,
London,Gonorrhoea,Women,25 to 34,"1,753","1,370","1,129","1,711","1,988",203.4,160.5,135.9,206.2,239.6,,,,,,,,,,
London,Gonorrhoea,Women,35 to 44,447,386,377,468,511,61.9,52.9,51.9,64.5,70.5,,,,,,,,,,
London,Gonorrhoea,Women,45 to 64,198,120,122,156,199,19.0,11.3,11.4,14.5,18.5,,,,,,,,,,
London,Gonorrhoea,Women,65 and over,7,2,2,6,9,1.2,0.3,0.3,1.0,1.5,,,,,,,,,,
London,Gonorrhoea,Women,Other,1,1,2,2,2,[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,Women,Total,"5,594","3,973","3,203","4,532","5,007",122.6,87.1,70.6,99.3,109.7,,,,,,,,,,
London,Gonorrhoea,WSM,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,Total,"4,989","3,468","2,604","3,757","4,206",152.0,105.7,79.4,114.5,128.2,,,,,,,,,,
London,Gonorrhoea,WSW,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,Total,134,134,184,301,251,359.8,359.8,494.1,808.3,674.0,,,,,,,,,,
London,Gonorrhoea,Total,13 to 14,15,13,8,10,9,7.5,6.4,3.8,4.6,4.2,,,,,,,,,,
London,Gonorrhoea,Total,15 to 19,"2,341","1,460","1,075","1,412","1,361",492.2,301.0,216.8,278.7,268.6,,,,,,,,,,
London,Gonorrhoea,Total,20 to 24,"6,213","4,289","3,855","5,261","5,470",992.9,722.9,657.8,866.7,901.1,,,,,,,,,,
London,Gonorrhoea,Total,25 to 34,"13,977","11,012","10,300","14,045","15,800",854.1,679.7,648.2,878.8,988.6,,,,,,,,,,
London,Gonorrhoea,Total,35 to 44,"6,507","5,535","5,521","7,121","8,340",456.5,387.8,393.9,511.2,598.7,,,,,,,,,,
London,Gonorrhoea,Total,45 to 64,"3,440","2,757","2,829","3,599","4,064",167.9,132.9,135.3,171.2,193.3,,,,,,,,,,
London,Gonorrhoea,Total,65 and over,133,84,96,156,184,12.9,8.1,9.1,14.6,17.2,,,,,,,,,,
London,Gonorrhoea,Total,Other,5,5,2,3,4,[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,Total,Total,"32,631","25,155","23,686","31,607","35,232",367.1,283.7,269.0,356.5,397.4,,,,,,,,,,
East of England,Gonorrhoea,Men,13 to 14,0,0,0,2,0,0.0,0.0,0.0,2.4,0.0,,,,,,,,,,
East of England,Gonorrhoea,Men,15 to 19,223,156,111,244,256,121.5,84.0,58.9,128.2,134.5,,,,,,,,,,
East of England,Gonorrhoea,Men,20 to 24,690,508,361,668,764,378.8,280.8,197.1,368.4,421.4,,,,,,,,,,
East of England,Gonorrhoea,Men,25 to 34,964,773,727,"1,041","1,141",234.1,188.0,175.2,249.9,274.0,,,,,,,,,,
East of England,Gonorrhoea,Men,35 to 44,400,344,355,455,519,96.1,82.1,83.5,105.3,120.1,,,,,,,,,,
East of England,Gonorrhoea,Men,45 to 64,332,233,253,331,390,39.4,27.5,29.7,38.8,45.7,,,,,,,,,,
East of England,Gonorrhoea,Men,65 and over,23,15,14,23,34,4.0,2.6,2.4,3.8,5.7,,,,,,,,,,
East of England,Gonorrhoea,Men,Other,8,2,0,0,0,[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,Men,Total,"2,640","2,031","1,821","2,764","3,104",82.0,62.9,55.9,84.2,94.5,,,,,,,,,,
East of England,Gonorrhoea,MSW,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,Total,"1,110",795,620,975,"1,085",47.0,33.6,26.2,41.3,45.9,,,,,,,,,,
East of England,Gonorrhoea,GBMSM,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
